03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightIndexIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightIndexDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightMiddleProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightMiddleIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightMiddleDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightRingProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightRingIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightRingDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightLittleProximal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightLittleIntermediate'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:RightLittleDistal'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftUpperLeg'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftLowerLeg'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftFoot'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
03-28 00:25:33.439  6022  6072 E godot   : WARNING: AnimationMixer (at: Lumax_Jen.tscn): 'discovered/angry_gesture', couldn't resolve track:  '../AvatarModel/GeneralSkeleton:LeftToes'. This warning can be disabled in Project Settings.
03-28 00:25:33.439  6022  6072 E godot   :    at: _update_caches (scene/animation/animation_mixer.cpp:717)
